time,reward,reward_cumulative,speed,base_x,base_y,base_height,left_contact,right_contact,left_Fz,right_Fz,left_Ft,right_Ft,left_mu,right_mu,L_HAA_q,L_HAA_qd,L_HAA_tau,L_HFE_q,L_HFE_qd,L_HFE_tau,L_KFE_q,L_KFE_qd,L_KFE_tau,R_HAA_q,R_HAA_qd,R_HAA_tau,R_HFE_q,R_HFE_qd,R_HFE_tau,R_KFE_q,R_KFE_qd,R_KFE_tau
0.01,0.342989057302475,0.342989057302475,0.26693380392898464,0.011150950790435597,-0.015320078363905462,0.4766368488895254,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06429285317599766,0.7103826589220195,2.8563956070923187,-0.21314911988251395,12.74517599932114,21.931973594057812,0.06785471733017476,-19.662280497713983,-33.5,-0.06444703832838414,-0.7196951974716952,-2.849617603327963,-0.2127201319579353,12.776548689737886,21.913661466870554,0.067513004306445,-19.683820402034755,-33.5
0.020000000000000004,0.5516824126243591,0.8946714699268341,0.2550035228836632,0.013823460712712204,-0.015169910516278412,0.4714090205138756,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07449903960138035,1.1888413586180464,2.393932155792787,-0.08436177482308838,12.316164395202925,9.449705180674712,-0.18007083064460375,-27.29917256630185,-33.5,-0.07467099898814937,-1.1861957095488447,-2.385069621547416,-0.08376122632042,12.324806976415735,9.420542013662573,-0.18052446461710653,-27.305480859680095,-33.5
0.030000000000000013,0.5271063446998596,1.4217778146266937,0.2491225574117115,0.016399688512579686,-0.015017847916836998,0.46385643503656254,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08801457891895312,1.4342925772729123,1.7427003117796351,0.03312320673046251,10.822404254697865,7.552308624121984,-0.46744654970778377,-28.3808336740946,-25.601255882020272,-0.08782540102006595,-1.381204824062305,-1.7468504314029332,0.04471121960611356,12.500699468568493,11.197202680454598,-0.46894801964129207,-28.49578620861433,-25.537677638796833
0.04000000000000002,0.6730791926383972,2.094857007265091,0.34433823596548047,0.019595637458664262,-0.01491801129251991,0.45514622684514,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1029775445705488,1.5031630987460032,1.0014390813471605,0.16686679274577806,14.125522015376745,15.944949685353967,-0.6977716855734439,-19.132289724847368,-8.249444217166115,-0.10218632032512195,-1.439623772484166,-1.034646360992319,0.1961056363158417,15.845146890831572,17.08884910163313,-0.7170385427181256,-21.65575040266756,-12.449147904360473
0.05000000000000003,0.7804970145225525,2.8753540217876434,0.3470753778133354,0.023137469492222586,-0.014923995177613308,0.4466609101656122,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.11669554328416029,1.23046424074619,0.28826925986660434,0.3253096005664675,16.13936414012176,17.073898658351915,-0.7963711868265126,-4.604872448895155,8.62319238242397,-0.11631807042024293,-1.3382975401076926,-0.3179262329986221,0.3326722803992565,11.839555136220643,5.858360923342925,-0.8787010805528497,-12.601384220116326,-3.4605843943691497
0.06000000000000004,0.6498143076896667,3.52516832947731,0.263773218922312,0.02611680989702544,-0.014919691117646926,0.4390546832287625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.12491298585535189,0.5072590777270496,-0.19492338499488948,0.4869801505731331,15.560531611112511,14.242310996052467,-0.7687718130913953,6.416032690690587,14.639266095231534,-0.12613134466381612,-0.6127757643055138,0.24528965676025472,0.38889783165453484,2.042911419944682,-8.455788782922065,-0.9577672901515469,-5.144854512285584,1.2383790563487906
0.07000000000000005,0.4893726408481598,4.01454097032547,0.21396333182376567,0.028474050243149533,-0.014992267970101347,0.4317964012288286,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.12694792555195913,0.05490492540905023,-0.34190578505705194,0.6314642061879727,13.292125638635579,9.977161472623639,-0.6669794373995447,11.61885190665227,13.846300363598093,-0.1186755180884874,1.4923387568722157,4.048956665783209,0.38302873872521165,-1.9710600649700154,-5.769841665892578,-0.9818269564615284,-0.9245638695704312,2.863391436119379
0.08000000000000006,0.4269675612449646,4.441508531570435,0.22089573730930978,0.030649073448566436,-0.015424191834971332,0.42402587116973384,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.12619114112312133,-0.13002727296576674,-0.32255978345264325,0.7478689432249083,10.302524797117812,5.769500849361599,-0.5441983456144928,12.01532739287045,10.012716001785058,-0.08385387631488604,4.42038010572061,7.223619990315922,0.3808404661638708,0.6929763628042327,3.758464687253987,-0.9781791540315139,1.015047844080105,2.8749624859837084
0.09000000000000007,0.38210245966911316,4.823610991239548,0.21241542192433943,0.0326633461005182,-0.01625836043543726,0.415454470727052,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.12458729313754256,-0.1645325785693179,-0.24581791473405978,0.8316766309737897,7.042061639646771,2.3999919338123306,-0.43633608682161384,9.629341720996797,5.740498102244395,-0.024933195816764855,6.453638748135915,7.892023665651834,0.3980051308433239,2.1567111481045487,3.904273406894138,-0.963562142030379,1.6318048850017628,2.2057875900191277
0.10000000000000007,0.24880045652389526,5.072411447763443,0.11499594559635791,0.034075276754210494,-0.01674600462092467,0.40634930965933724,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08431214713505802,-5.920219516285965,-10.807629308381497,0.8842747098443534,4.1014063684630155,0.16417553575091404,-0.359431689691407,6.323282391929323,2.3803684772016958,0.035250845648310984,5.6213182804322654,4.799589545627677,0.3971915172428143,-1.242480449804312,-4.203232782024408,-0.9471376231842987,1.5710521329239033,1.378486372507325
