run_folder,render_tag,episode_return,episode_steps,episode_time,mean_speed,max_speed,mean_base_height,left_contact_ratio,right_contact_ratio,mean_Fz_L_stance,mean_Fz_R_stance,mean_Ft_L_stance,mean_Ft_R_stance,max_Fz_L,max_Fz_R,max_Ft_L,max_Ft_R,max_mu_L,max_mu_R,total_energy,delta_x,CoT
run_1_20260304-120853,run_1_20260304-120853,24475.976339843124,1999,19.9899999999998,5.265269349088107,5.8416027060585565,0.30003477585321126,0.15557778889444723,0.135567783891946,38.51255386291071,35.03684034984543,13.341498397406703,6.013475960629268,102.50608438583208,99.38589755387221,47.13357512613527,30.43625380586492,0.9999999111397084,0.9999998021686908,1668.8854363069318,105.00690318700543,1.2278430433901513
run_2_20260304-141006,run_2_20260304-141006,24626.64001470059,1999,19.9899999999998,5.322425903315423,5.990081551227013,0.299757588396965,0.16058029014507252,0.1325662831415708,39.356657744019955,34.31456718838869,14.131228157595974,5.629973263355051,103.93569778193887,95.67998745624497,49.72776080247539,29.907671354283615,0.9999999370851459,0.9999998689503848,1704.7889384177824,106.15599321242638,1.2406814263357004
run_3_20260304-183802,run_3_20260304-183802,24412.115992084146,1999,19.9899999999998,5.257687061558528,5.851529037906834,0.29984341986014595,0.15557778889444723,0.1345672836418209,38.7476522808046,34.00447553208598,13.461665748176241,5.8316052750876715,107.53687227698813,93.86609248441552,55.816828828646486,34.0045488082666,0.9999999103474861,0.9999998128709684,1671.8408280768367,104.81840740177024,1.2322293532740456
run_4_20260311-111028,run_4_20260311-111028,21559.32487472333,1999,19.9899999999998,4.791657790652297,5.342108784409677,0.30661599892920083,0.13006503251625812,0.11905952976488245,51.83780091221751,44.8339246310634,15.838422520132395,13.365133375006076,116.46834946304853,110.05742897679721,49.23509919137043,41.749846612076304,0.9999999140403324,0.9999999311607413,1057.259484420934,95.62268811380203,0.8541906658944364
run_5_20260312-075431,run_5_20260312-075431,21463.42480034381,1999,19.9899999999998,4.752659069549407,5.3164053347229165,0.30753495022666394,0.13156578289144572,0.11455727863931967,54.76403327732971,46.0753519921747,17.73266059966989,13.692283271832919,117.0879665862161,108.09855417199915,52.57654026702711,40.12174894606537,0.9999999240236008,0.9999999242908272,1033.4498682127187,94.81789408227462,0.8420410977243594
run_6_20260312-092649,run_6_20260312-092649,21635.67314807698,1999,19.9899999999998,4.783051532998424,5.336837435399814,0.30722577528301415,0.12856428214107055,0.11605802901450725,52.37014197195254,44.8939329954267,15.984235153260016,13.023615271309012,114.77755897166614,106.8102358968857,54.05097025263906,41.086057628956205,0.9999998812142127,0.9999999423535394,1034.4404513199813,95.43956793496685,0.8373580704554554
run_4_20260311-111028,run_4_20260311-111028__render2,68.5592626389116,150,1.500000000000001,0.3462279597718705,0.7838792583479915,0.3029334453480325,0.08,0.2733333333333333,48.73177655751532,27.76629948967826,18.905168059656997,14.858099114566844,86.0823313507261,55.55139890905313,25.37559771111286,31.638670685490283,0.752878321965377,0.9648903343949004,20.53389124078531,0.4612968857232588,3.4693693598958166
run_5_20260312-075431,run_5_20260312-075431__render2,263.4159593186341,230,2.2999999999999683,0.6445667649446221,1.3682450249051827,0.32789052427900156,0.06521739130434782,0.14782608695652175,47.404243054295804,55.83808779870001,19.08724402488724,30.36632665084037,107.20361086327773,107.66721358854782,27.47675356046358,60.53698763511509,0.9086821596792898,0.9999996793203616,41.64173343182507,1.3962288306752073,2.324513121697278
run_6_20260312-092649,run_6_20260312-092649__render2,163.0001141312532,201,2.0100000000000002,0.47493986963471846,0.8609757996329298,0.32044961790524185,0.06965174129353234,0.15920398009950248,50.88384601725999,44.503019744394365,22.87913607046298,21.629224379878597,83.4443032559769,80.41352149748776,45.93267808969231,41.504530491884005,0.7395897548616923,0.9999990613290313,20.94637108605957,0.8631449654571939,1.891406404928807
run_1_20260304-120853,run_1_20260304-120853__render2,-20.39983984688297,111,1.1100000000000008,0.26168069979929987,0.44336702235271064,0.33467692373291746,0.1981981981981982,0.4594594594594595,27.75881831907602,14.001722760115484,15.125924653065233,3.3768376111874576,76.31349517696573,75.8136226519433,25.091759588544267,21.126939134897377,0.9832922049336028,0.7491356497339694,17.74826879600839,0.05856245671108651,23.620903975511382
run_2_20260304-141006,run_2_20260304-141006__render2,-39.2287529297173,89,0.8900000000000007,0.2445107759402656,0.48969569485757986,0.3564954399998364,0.14606741573033707,0.34831460674157305,44.64894702098168,15.207037295516452,23.844004943603032,4.270169935924467,83.48947766938228,99.27861466200473,31.272371874062852,18.107838284942325,0.8190662330243953,0.7259514425014687,29.800694661171477,0.010936592465781264,212.37537680723753
run_3_20260304-183802,run_3_20260304-183802__render2,-20.052698112325743,111,1.1100000000000008,0.2715913758307384,0.46164201964190166,0.34497453916188203,0.18018018018018017,0.38738738738738737,34.3430000243723,15.674183034901308,19.22378459957186,3.5235013179853736,86.03018107723675,124.98850161536396,29.587887256710797,19.280020951458315,0.9999999217488422,0.7297951304609022,19.4642778774205,0.06824417747354204,22.229643413932738
